,day,time,Apartment,max_request,total_DR,requests,response,count,cons,req_index,res_index,rel_index,contri_index,inconv,req_p,res_p,rel_p,contri_p,score
0,1,07:30:00,5,5,90,80,29,0,55,88,36,45,0,0,89.79591836734694,36.734693877551024,48.38709677419355,0.0,43.72942725477288
1,1,08:30:00,5,5,90,55,25,0,67,61,45,56,0,0,62.244897959183675,45.91836734693877,60.215053763440864,0.0,42.094579767390826
2,1,09:30:00,5,5,90,43,3,0,58,47,6,32,0,0,47.95918367346939,6.122448979591836,34.40860215053763,0.0,22.122558700899717
3,1,10:30:00,5,5,90,80,33,0,64,88,41,52,0,0,89.79591836734694,41.83673469387755,55.913978494623656,0.0,46.886657888962034
4,1,11:30:00,5,5,90,50,8,0,46,55,16,31,0,0,56.12244897959184,16.3265306122449,33.333333333333336,0.0,26.44557823129252
5,1,12:30:00,5,5,90,51,49,0,47,56,96,71,0,0,57.142857142857146,97.95918367346938,76.34408602150538,0.0,57.86153170945797
6,1,13:30:00,5,5,90,63,48,0,49,70,76,62,0,0,71.42857142857143,77.55102040816327,66.66666666666667,0.0,53.911564625850346
7,1,14:30:00,5,5,90,44,29,0,48,48,65,56,0,0,48.97959183673469,66.3265306122449,60.215053763440864,0.0,43.88029405310511
8,1,15:30:00,5,5,90,66,18,0,82,73,27,54,0,0,74.48979591836735,27.551020408163264,58.064516129032256,0.0,40.026333113890715
9,1,16:30:00,5,5,90,50,31,0,40,55,62,51,0,0,56.12244897959184,63.265306122448976,54.83870967741935,0.0,43.55661619486504
10,1,17:30:00,5,5,90,66,43,0,75,73,65,70,0,0,74.48979591836735,66.3265306122449,75.26881720430107,0.0,54.02128593372833
11,1,18:30:00,5,5,90,87,43,0,84,96,49,66,0,0,97.95918367346938,50.0,70.96774193548387,0.0,54.73173140223831
12,1,19:30:00,5,5,90,49,29,0,41,54,59,50,0,0,55.10204081632653,60.204081632653065,53.763440860215056,0.0,42.26739082729866
13,1,20:30:00,5,5,90,43,19,0,70,47,44,57,0,0,47.95918367346939,44.89795918367347,61.29032258064516,0.0,38.536866359447004
14,1,21:30:00,5,5,90,65,54,0,73,72,83,78,0,0,73.46938775510205,84.6938775510204,83.87096774193549,0.0,60.50855826201449
15,1,22:30:00,5,5,90,72,61,0,47,80,84,65,0,0,81.63265306122449,85.71428571428571,69.89247311827957,0.0,59.30985297344744
16,1,23:30:00,5,5,90,79,63,0,64,87,79,71,0,0,88.77551020408163,80.61224489795919,76.34408602150538,0.0,61.43296028088655
17,2,00:30:00,5,5,90,76,69,0,47,84,90,68,0,0,85.71428571428571,91.83673469387755,73.11827956989248,0.0,62.66732499451393
18,2,01:30:00,5,5,90,47,22,0,88,52,46,67,0,0,53.06122448979592,46.93877551020408,72.04301075268818,0.0,43.01075268817205
19,2,02:30:00,5,5,90,48,21,0,78,53,43,60,0,0,54.08163265306123,43.87755102040816,64.51612903225806,0.0,40.61882817643186
20,2,03:30:00,5,5,90,80,32,0,43,88,40,41,0,0,89.79591836734694,40.816326530612244,44.086021505376344,0.0,43.674566600833884
21,2,04:30:00,5,5,90,62,29,0,43,68,46,44,0,0,69.38775510204081,46.93877551020408,47.31182795698925,0.0,40.90958964230853
22,2,05:30:00,5,5,90,71,24,0,86,78,33,59,0,0,79.59183673469387,33.673469387755105,63.44086021505376,0.0,44.176541584375684
23,2,06:30:00,5,5,90,54,46,0,54,60,85,69,0,0,61.224489795918366,86.73469387755102,74.19354838709677,0.0,55.53818301514154
24,2,07:30:00,5,5,90,82,60,0,83,91,73,78,0,0,92.85714285714286,74.48979591836735,83.87096774193549,0.0,62.804476629361425
25,2,08:30:00,5,5,90,51,20,0,80,56,39,59,0,0,57.142857142857146,39.795918367346935,63.44086021505376,0.0,40.09490893131446
26,2,09:30:00,5,5,90,69,23,0,75,76,33,54,0,0,77.55102040816327,33.673469387755105,58.064516129032256,0.0,42.32225148123766
27,2,10:30:00,5,5,90,80,1,0,75,88,1,38,0,0,89.79591836734694,1.0204081632653061,40.86021505376344,0.0,32.91913539609392
28,2,11:30:00,5,5,90,61,59,0,43,67,96,69,0,0,68.36734693877551,97.95918367346938,74.19354838709677,0.0,60.13001974983542
29,2,12:30:00,5,5,90,83,39,0,80,92,46,63,0,0,93.87755102040816,46.93877551020408,67.74193548387096,0.0,52.1395655036208
30,2,13:30:00,5,5,90,68,7,0,59,75,10,34,0,0,76.53061224489795,10.204081632653061,36.55913978494624,0.0,30.823458415624312
31,2,14:30:00,5,5,90,63,27,0,51,70,42,46,0,0,71.42857142857143,42.857142857142854,49.46236559139785,0.0,40.93701996927803
32,2,15:30:00,5,5,90,40,8,0,67,44,20,43,0,0,44.89795918367347,20.408163265306122,46.236559139784944,0.0,27.885670397191134
33,2,16:30:00,5,5,90,82,39,0,58,91,47,52,0,0,92.85714285714286,47.95918367346939,55.913978494623656,0.0,49.18257625630898
34,2,17:30:00,5,5,90,59,11,0,76,65,18,47,0,0,66.3265306122449,18.367346938775512,50.53763440860215,0.0,33.807877989905634
35,2,18:30:00,5,5,90,76,25,0,82,84,32,57,0,0,85.71428571428571,32.6530612244898,61.29032258064516,0.0,44.914417379855166
36,2,19:30:00,5,5,90,73,54,0,45,81,73,59,0,0,82.65306122448979,74.48979591836735,63.44086021505376,0.0,55.145929339477725
37,2,20:30:00,5,5,90,73,53,0,74,81,72,73,0,0,82.65306122448979,73.46938775510205,78.49462365591398,0.0,58.654268158876455
38,2,21:30:00,5,5,90,60,19,0,89,66,31,60,0,0,67.34693877551021,31.632653061224488,64.51612903225806,0.0,40.87393021724819
39,2,22:30:00,5,5,90,81,27,0,40,90,33,36,0,0,91.83673469387755,33.673469387755105,38.70967741935484,0.0,41.05497037524687
40,2,23:30:00,5,5,90,72,15,0,56,80,20,38,0,0,81.63265306122449,20.408163265306122,40.86021505376344,0.0,35.725257845073514
41,3,00:30:00,5,5,90,62,22,0,86,68,35,60,0,0,69.38775510204081,35.714285714285715,64.51612903225806,0.0,42.404542462146146
42,3,01:30:00,5,5,90,53,40,0,86,58,75,80,0,0,59.183673469387756,76.53061224489795,86.02150537634408,0.0,55.43394777265745
43,3,02:30:00,5,5,90,59,21,0,86,65,35,60,0,0,66.3265306122449,35.714285714285715,64.51612903225806,0.0,41.63923633969716
44,3,03:30:00,5,5,90,77,27,0,74,85,35,54,0,0,86.73469387755102,35.714285714285715,58.064516129032256,0.0,45.12837393021725
45,3,04:30:00,5,5,90,79,34,0,83,87,43,63,0,0,88.77551020408163,43.87755102040816,67.74193548387096,0.0,50.098749177090184
46,3,05:30:00,5,5,90,77,28,0,81,85,36,58,0,0,86.73469387755102,36.734693877551024,62.365591397849464,0.0,46.45874478823788
